Sood_zarar,Ravand_TF 15 min= ,Ravand_TF 1h= ,Ravand_TF 4h= ,Ravand_TF D= ,Ravand_Zstr_TF 15 min= ,Ravand_Zstr_TF 1h= ,Ravand_Zstr_TF 4h= ,Ravand_Zstr_TF D= ,PTL_signal 15 min= ,PTL_signal 1h= ,PTL_signal 4h= ,PTL_signal D= ,PTL_Status 15 min= ,PTL_Status 1h= ,PTL_Status 4h= ,PTL_Status D= ,RSI_Status 15 min= ,RSI_Status 1h= ,RSI_Status 4h= ,RSI_Status D= ,RSI 15 min= ,RSI 1h= ,RSI 4h= ,RSI D= ,MACD_Status 15 min= ,MACD_Status 1h= ,MACD_Status 4h= ,MACD_Status D= ,Stochastic_Status 15 min= ,Stochastic_Status 1h= ,Stochastic_Status 4h= ,Stochastic_Status D= ,Supp_Z_percent_distance_TF 15 min=,Supp_Z_percent_distance_TF 1h=,Supp_Z_percent_distance_TF 4h=,Supp_Z_percent_distance_TF D=,Supp_Z_repeat_count_TF 15 min=,Supp_Z_repeat_count_TF 1h=,Supp_Z_repeat_count_TF 4h=,Supp_Z_repeat_count_TF D=,Ress_Z_percent_distance_TF 15 min=,Ress_Z_percent_distance_TF 1h=,Ress_Z_percent_distance_TF 4h=,Ress_Z_percent_distance_TF D=,Ress_Z_repeat_count_TF 15 min=,Ress_Z_repeat_count_TF 1h=,Ress_Z_repeat_count_TF 4h=,Ress_Z_repeat_count_TF D=,Supp_Z_repeated_percent_distance_TF 15 min=,Supp_Z_repeated_percent_distance_TF 1h=,Supp_Z_repeated_percent_distance_TF 4h=,Supp_Z_repeated_percent_distance_TF D=,Supp_Z_repeated_repeat_count_TF 15 min=,Supp_Z_repeated_repeat_count_TF 1h=,Supp_Z_repeated_repeat_count_TF 4h=,Supp_Z_repeated_repeat_count_TF D=,Ress_Z_repeated_percent_distance_TF 15 min=,Ress_Z_repeated_percent_distance_TF 1h=,Ress_Z_repeated_percent_distance_TF 4h=,Ress_Z_repeated_percent_distance_TF D=,Ress_Z_repeated_repeat_count_TF 15 min=,Ress_Z_repeated_repeat_count_TF 1h=,Ress_Z_repeated_repeat_count_TF 4h=,Ress_Z_repeated_repeat_count_TF D=,Supp_Z_farthest_percent_distance_TF 15 min=,Supp_Z_farthest_percent_distance_TF 1h=,Supp_Z_farthest_percent_distance_TF 4h=,Supp_Z_farthest_percent_distance_TF D=,Supp_Z_farthest_repeat_count_TF 15 min=,Supp_Z_farthest_repeat_count_TF 1h=,Supp_Z_farthest_repeat_count_TF 4h=,Supp_Z_farthest_repeat_count_TF D=,Ress_Z_farthest_percent_distance_TF 15 min=,Ress_Z_farthest_percent_distance_TF 1h=,Ress_Z_farthest_percent_distance_TF 4h=,Ress_Z_farthest_percent_distance_TF D=,Ress_Z_farthest_repeat_count_TF 15 min=,Ress_Z_farthest_repeat_count_TF 1h=,Ress_Z_farthest_repeat_count_TF 4h=,Ress_Z_farthest_repeat_count_TF D=,Supp_Z_2th_percent_distance_TF 15 min=,Supp_Z_2th_percent_distance_TF 1h=,Supp_Z_2th_percent_distance_TF 4h=,Supp_Z_2th_percent_distance_TF D=,Supp_Z_2th_repeat_count_TF 15 min=,Supp_Z_2th_repeat_count_TF 1h=,Supp_Z_2th_repeat_count_TF 4h=,Supp_Z_2th_repeat_count_TF D=,Ress_Z_2th_percent_distance_TF 15 min=,Ress_Z_2th_percent_distance_TF 1h=,Ress_Z_2th_percent_distance_TF 4h=,Ress_Z_2th_percent_distance_TF D=,Ress_Z_2th_repeat_count_TF 15 min=,Ress_Z_2th_repeat_count_TF 1h=,Ress_Z_2th_repeat_count_TF 4h=,Ress_Z_2th_repeat_count_TF D=,n_bar_Change_ravand_TF 15 min= ,n_bar_Change_ravand_TF 1h= ,n_bar_Change_ravand_TF 4h= ,n_bar_Change_ravand_TF D= ,n_bar_Change_ravand_Zstr 15 min= ,n_bar_Change_ravand_Zstr 1h= ,n_bar_Change_ravand_Zstr 4h= ,n_bar_Change_ravand_Zstr D= ,now_ravand_perc_TF 15 min= ,now_ravand_perc_TF 1h= ,now_ravand_perc_TF 4h= ,now_ravand_perc_TF D= ,sec_ravand_perc_TF 15 min= ,sec_ravand_perc_TF 1h= ,sec_ravand_perc_TF 4h= ,sec_ravand_perc_TF D= ,third_ravand_perc_TF 15 min= ,third_ravand_perc_TF 1h= ,third_ravand_perc_TF 4h= ,third_ravand_perc_TF D= 
-0.63,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,Sell Signal_StartNozool,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Neutral,36.61662381,28.6440167,26.83181965,52.80901264,Ehtemale_Start_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,OS_Ehtiait_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,NotExist,0.132193691,0.325957046,0.311696425,NotExist,1,1,4,0.003923557,0.047384497,0.038028322,1.138586071,3,3,3,2,NotExist,NotExist,0.898871826,0.311696425,NotExist,NotExist,4,4,0.003923557,0.047384497,0.038028322,1.138586071,3,3,3,2,NotExist,0.132193691,2.246568397,5.054446899,NotExist,1,5,3,0.851110065,1.369472312,1.30322456,1.138586071,2,2,3,2,NotExist,NotExist,0.898871826,1.276325559,NotExist,NotExist,4,8,0.044366376,0.23586614,0.497084495,NotExist,1,2,4,NotExist,6,8,2,1,30,8,2,5,0,0,0,0,-0.399538231,-0.460584428,-1.407884869,3.935195925,0.130945608,0.355485604,0.931716196,-1.555620513
0.66,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,Sell Signal_StartNozool,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,51.3165461,37.74171174,30.16201091,53.5889539,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Sell Signal,Buy Signa,OS_Ehtiait_Souod,0.066958025,0.018699989,0.033780625,0.478659392,5,3,3,3,0.021716116,0.169657157,0.430702969,1.071780812,6,2,4,2,0.066958025,0.018699989,0.033780625,0.478659392,5,3,3,3,0.021716116,0.169657157,0.430702969,1.071780812,6,2,4,2,0.066958025,0.198159559,2.311137653,5.117161462,5,1,5,3,0.784494693,1.302514545,1.236310553,1.071780812,2,2,3,2,NotExist,0.198159559,0.391794927,1.341535691,NotExist,1,1,8,0.196479145,0.369716876,0.803496295,NotExist,7,5,3,NotExist,2,11,1,5,9,3,1,5,0,0,0,0,0.124981887,-0.477709877,-1.424847338,3.935195925,-0.416674182,0.355485604,0.931716196,-1.555620513
0.34,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Buy Signa_StartSouod,No_newSignal,No_newSignal,Sell Signal_StartNozool,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Exit_OS_Signal_Souod,Neutral,59.47927742,44.40137787,33.58125815,54.01830147,Edame_Ravand_Souod,Edame_Ravand_Souod,Ehtemale_Start_Souod,Edame_Ravand_Nozool,Sell Signal,Neutral,Neutral,OS_Ehtiait_Souod,0.014697769,0.043867186,0.073564216,0.518265935,8,4,3,3,0.156603917,0.129792603,0.390734527,1.03155724,7,2,4,2,0.014697769,0.043867186,0.073564216,0.518265935,8,4,3,3,0.156603917,0.129792603,0.390734527,1.03155724,7,2,4,2,0.107934383,0.237877733,2.350014924,5.154922019,6,1,5,3,0.754334711,1.312397681,1.196021502,1.03155724,1,1,3,2,0.107934383,0.237877733,0.43143604,1.380798835,6,1,1,8,0.220391157,0.262298641,0.763379492,NotExist,3,2,3,NotExist,1,1,2,5,1,1,2,5,0,0,0,0,0.114094264,0.131321548,-1.424847338,3.935195925,-0.107639705,-0.477709877,0.931716196,-1.555620513
1.16,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,Sell Signal_StartNozool,PTL_isSouodi,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,59.30379001,55.32338985,39.44322017,55.14986765,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,OS_Ehtiait_Souod,0.117755833,0.16684586,0.181904151,0.626123725,6,3,3,3,0.061799225,0.040958551,0.281891201,0.922019136,10,3,4,2,0.117755833,0.16684586,0.181904151,0.626123725,6,3,3,3,0.061799225,0.040958551,0.281891201,0.922019136,10,3,4,2,0.209611406,0.346039519,2.455886738,5.257752761,7,1,5,3,0.645097171,1.202555091,1.086305087,0.922019136,1,1,3,2,0.209611406,0.346039519,0.539387971,1.48772147,7,1,1,8,0.162328373,0.153594565,0.654132146,NotExist,3,2,3,NotExist,4,1,3,5,4,1,3,5,0,0,0,0,0.30334586,0.320605709,-1.424847338,3.935195925,-0.107639705,-0.477709877,0.931716196,-1.555620513
-0.78,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,Sell Signal_StartNozool,PTL_isNozooli,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,45.54641402,47.01276455,37.11255132,54.42078776,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,OS_Ehtiait_Souod,0.047316378,0.096441025,0.111509935,0.556042784,6,3,3,3,0.132365307,0.111509935,0.352612497,0.993191866,10,3,4,2,0.047316378,0.096441025,0.111509935,0.556042784,6,3,3,3,0.132365307,0.111509935,0.352612497,0.993191866,10,3,4,2,0.13923673,0.275761055,2.387096191,5.19093816,7,1,5,3,0.716074609,1.273925662,1.157593676,0.993191866,1,1,3,2,0.13923673,0.275761055,0.469245861,1.418248149,7,1,1,8,0.232965351,0.224225383,0.725115955,NotExist,3,2,3,NotExist,16,4,3,5,16,4,3,5,-0.150762842,0,0,0,0.30334586,0.320605709,-1.424847338,3.935195925,-0.107639705,-0.477709877,0.931716196,-1.555620513
0.97,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,Sell Signal_StartNozool,PTL_isNozooli,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,57.77420858,56.54794464,40.74838327,55.38773853,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,Buy Signa,0.139306658,0.171172555,0.205346846,0.649462094,9,4,3,3,0.026195272,0.017463515,0.258339581,0.89831718,9,3,4,2,0.139306658,0.171172555,0.205346846,0.649462094,9,4,3,3,0.026195272,0.017463515,0.258339581,0.89831718,9,3,4,2,0.239671686,0.369443667,2.478795379,5.280003372,6,1,5,3,0.621460251,1.178787249,1.062564547,0.89831718,1,1,3,2,0.239671686,0.369443667,0.56274671,1.510857489,6,1,1,8,0.088220859,0.130073076,0.630493103,NotExist,3,2,3,NotExist,2,3,4,5,8,7,4,5,0,0,0,0,0.121178141,0.320605709,-1.424847338,3.935195925,-0.170623815,-0.477709877,0.931716196,-1.555620513
-0.12,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Buy Signa_StartSouod,No_newSignal,No_newSignal,Sell Signal_StartNozool,PTL_isSouodi,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,55.18571634,54.45158093,40.27608324,55.22332842,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,OB_Ehtiait_Nozool,Buy Signa,Neutral,Buy Signa,0.083115757,0.110218721,0.189118461,0.633305929,1,2,3,3,0.028796899,0.033728133,0.27464337,0.91472504,8,3,4,2,0.128061506,0.110218721,0.189118461,0.633305929,8,2,3,3,0.028796899,0.033728133,0.27464337,0.91472504,8,3,4,2,0.223448882,0.353241966,2.462936697,5.264600216,6,1,5,3,0.63782309,1.195240719,1.078999118,0.91472504,1,1,3,2,0.128061506,0.229471763,0.546576444,1.494841402,8,1,1,8,0.091969392,0.146356006,0.646857411,NotExist,5,2,3,NotExist,1,6,5,5,20,10,5,5,0,0,0,0,0.121178141,0.320605709,-1.424847338,3.935195925,-0.170623815,-0.477709877,0.931716196,-1.555620513
-0.19,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,44.29704821,51.67403051,40.21910786,55.01687239,Edame_Ravand_Nozool,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Sell Signal,Sell Signal,OS_Ehtiait_Souod,0.160048968,0.004063939,0.226075439,0.573466992,9,4,3,4,0.004244559,0.109274813,0.237514675,0.877359343,10,2,4,2,0.160048968,0.004063939,0.226075439,0.573466992,9,4,3,4,0.004244559,0.109274813,0.237514675,0.877359343,10,2,4,2,0.260393148,0.390138174,2.499051747,5.299677895,6,1,5,3,0.523796622,1.157771155,1.041572594,0.877359343,1,1,3,2,0.260393148,0.147204913,0.583401066,1.53131491,6,2,1,8,0.067431289,0.247629369,0.609590897,NotExist,3,5,3,NotExist,5,2,6,1,5,13,6,6,0.006322083,0,0,0,0.128412657,0.320605709,-1.424847338,3.935195925,-0.170623815,-0.477709877,0.931716196,-1.555620513
-0.56,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,44.44196389,50.76346186,40.03945518,54.95706615,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Neutral,Sell Signal,OS_Ehtiait_Souod,0.004819001,0.073188583,0.174688798,0.522259268,3,3,3,4,0.0606391,0.047662935,0.289140079,0.929314286,9,4,4,2,0.004819001,0.073188583,0.174688798,0.522259268,3,3,3,4,0.0606391,0.047662935,0.289140079,0.929314286,9,4,4,2,0.209024182,0.215047934,2.448835759,5.250904316,6,1,5,3,0.291850768,1.209870519,1.093612113,0.929314286,1,1,3,2,0.068670769,0.215047934,0.532198459,1.480600508,1,1,1,8,0.118969095,0.160834169,0.661407931,NotExist,3,2,3,NotExist,2,1,6,1,2,16,6,6,0,0,0,0,-0.074058018,0.320605709,-1.424847338,3.935195925,0.051505869,-0.477709877,0.931716196,-1.555620513
-0.42,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,43.57253201,47.44337509,39.61113571,54.57736392,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,OS_Ehtiait_Souod,0.070397853,0.061158763,0.145816952,0.493487948,9,3,3,4,0.051317123,0.076599091,0.318146076,0.958505437,9,4,4,2,0.070397853,0.061158763,0.145816952,0.493487948,9,3,3,4,0.051317123,0.076599091,0.318146076,0.958505437,9,4,4,2,0.180162267,0.18618776,2.427219566,5.223500631,6,1,4,3,0.275666344,1.239142813,1.122850782,0.958505437,1,1,3,2,0.133765964,0.18618776,0.503430012,1.452106362,1,1,1,8,0.111557715,0.189803057,0.690521597,NotExist,7,2,3,NotExist,3,3,7,1,3,3,7,6,0,0,0,0,0.102182916,-0.166109958,-1.424847338,3.935195925,-0.124634226,0.320605709,0.931716196,-1.555620513
