Sood_zarar,Ravand_TF 15 min= ,Ravand_TF 1h= ,Ravand_TF 4h= ,Ravand_TF D= ,Ravand_Zstr_TF 15 min= ,Ravand_Zstr_TF 1h= ,Ravand_Zstr_TF 4h= ,Ravand_Zstr_TF D= ,PTL_signal 15 min= ,PTL_signal 1h= ,PTL_signal 4h= ,PTL_signal D= ,PTL_Status 15 min= ,PTL_Status 1h= ,PTL_Status 4h= ,PTL_Status D= ,RSI_Status 15 min= ,RSI_Status 1h= ,RSI_Status 4h= ,RSI_Status D= ,RSI 15 min= ,RSI 1h= ,RSI 4h= ,RSI D= ,MACD_Status 15 min= ,MACD_Status 1h= ,MACD_Status 4h= ,MACD_Status D= ,Stochastic_Status 15 min= ,Stochastic_Status 1h= ,Stochastic_Status 4h= ,Stochastic_Status D= ,Supp_Z_percent_distance_TF 15 min=,Supp_Z_percent_distance_TF 1h=,Supp_Z_percent_distance_TF 4h=,Supp_Z_percent_distance_TF D=,Supp_Z_repeat_count_TF 15 min=,Supp_Z_repeat_count_TF 1h=,Supp_Z_repeat_count_TF 4h=,Supp_Z_repeat_count_TF D=,Ress_Z_percent_distance_TF 15 min=,Ress_Z_percent_distance_TF 1h=,Ress_Z_percent_distance_TF 4h=,Ress_Z_percent_distance_TF D=,Ress_Z_repeat_count_TF 15 min=,Ress_Z_repeat_count_TF 1h=,Ress_Z_repeat_count_TF 4h=,Ress_Z_repeat_count_TF D=,Supp_Z_repeated_percent_distance_TF 15 min=,Supp_Z_repeated_percent_distance_TF 1h=,Supp_Z_repeated_percent_distance_TF 4h=,Supp_Z_repeated_percent_distance_TF D=,Supp_Z_repeated_repeat_count_TF 15 min=,Supp_Z_repeated_repeat_count_TF 1h=,Supp_Z_repeated_repeat_count_TF 4h=,Supp_Z_repeated_repeat_count_TF D=,Ress_Z_repeated_percent_distance_TF 15 min=,Ress_Z_repeated_percent_distance_TF 1h=,Ress_Z_repeated_percent_distance_TF 4h=,Ress_Z_repeated_percent_distance_TF D=,Ress_Z_repeated_repeat_count_TF 15 min=,Ress_Z_repeated_repeat_count_TF 1h=,Ress_Z_repeated_repeat_count_TF 4h=,Ress_Z_repeated_repeat_count_TF D=,Supp_Z_farthest_percent_distance_TF 15 min=,Supp_Z_farthest_percent_distance_TF 1h=,Supp_Z_farthest_percent_distance_TF 4h=,Supp_Z_farthest_percent_distance_TF D=,Supp_Z_farthest_repeat_count_TF 15 min=,Supp_Z_farthest_repeat_count_TF 1h=,Supp_Z_farthest_repeat_count_TF 4h=,Supp_Z_farthest_repeat_count_TF D=,Ress_Z_farthest_percent_distance_TF 15 min=,Ress_Z_farthest_percent_distance_TF 1h=,Ress_Z_farthest_percent_distance_TF 4h=,Ress_Z_farthest_percent_distance_TF D=,Ress_Z_farthest_repeat_count_TF 15 min=,Ress_Z_farthest_repeat_count_TF 1h=,Ress_Z_farthest_repeat_count_TF 4h=,Ress_Z_farthest_repeat_count_TF D=,Supp_Z_2th_percent_distance_TF 15 min=,Supp_Z_2th_percent_distance_TF 1h=,Supp_Z_2th_percent_distance_TF 4h=,Supp_Z_2th_percent_distance_TF D=,Supp_Z_2th_repeat_count_TF 15 min=,Supp_Z_2th_repeat_count_TF 1h=,Supp_Z_2th_repeat_count_TF 4h=,Supp_Z_2th_repeat_count_TF D=,Ress_Z_2th_percent_distance_TF 15 min=,Ress_Z_2th_percent_distance_TF 1h=,Ress_Z_2th_percent_distance_TF 4h=,Ress_Z_2th_percent_distance_TF D=,Ress_Z_2th_repeat_count_TF 15 min=,Ress_Z_2th_repeat_count_TF 1h=,Ress_Z_2th_repeat_count_TF 4h=,Ress_Z_2th_repeat_count_TF D=,n_bar_Change_ravand_TF 15 min= ,n_bar_Change_ravand_TF 1h= ,n_bar_Change_ravand_TF 4h= ,n_bar_Change_ravand_TF D= ,n_bar_Change_ravand_Zstr 15 min= ,n_bar_Change_ravand_Zstr 1h= ,n_bar_Change_ravand_Zstr 4h= ,n_bar_Change_ravand_Zstr D= ,now_ravand_perc_TF 15 min= ,now_ravand_perc_TF 1h= ,now_ravand_perc_TF 4h= ,now_ravand_perc_TF D= ,sec_ravand_perc_TF 15 min= ,sec_ravand_perc_TF 1h= ,sec_ravand_perc_TF 4h= ,sec_ravand_perc_TF D= ,third_ravand_perc_TF 15 min= ,third_ravand_perc_TF 1h= ,third_ravand_perc_TF 4h= ,third_ravand_perc_TF D= 
-0.2,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,44.65679784,32.36030392,36.20012253,35.95392835,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Sell Signal,OS_Ehtiait_Souod,Neutral,0.120188827,0.041511,0.179881002,0.179881002,2,1,3,3,0.053095466,0.11005242,0.182455327,1.140104453,1,2,2,2,0.120188827,0.147380141,0.179881002,0.179881002,2,3,3,3,0.372874975,0.11005242,0.182455327,1.140104453,4,2,2,2,0.120188827,0.147380141,0.179881002,0.179881002,2,3,3,3,0.958614498,1.691331924,5.578885381,8.024494708,1,1,1,3,NotExist,0.147380141,NotExist,NotExist,NotExist,3,NotExist,NotExist,0.122602257,0.271076486,0.827967473,2.728302458,1,5,6,6,4,6,2,1,4,6,2,7,0,0,0,0,-0.15051813,-0.768419033,-1.09103079,-2.696320548,0.196250931,0.507163932,0.720394483,2.861539057
-0.37,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,40.34589965,30.2761894,34.83641306,35.43634766,Edame_Ravand_Souod,Ehtemale_Start_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Buy Signa,Neutral,OS_Ehtiait_Souod,Neutral,0.058448459,0.073100828,0.105625865,0.105625865,2,3,3,3,0.127523911,0.032847068,0.256980002,1.215341513,1,1,2,2,0.058448459,0.073100828,0.105625865,0.105625865,2,3,3,3,0.4475413,0.184523234,0.256980002,1.215341513,4,2,2,2,0.058448459,0.073100828,0.105625865,0.105625865,2,3,3,3,1.033716549,1.766979036,5.657424403,8.104852993,1,1,1,3,NotExist,NotExist,NotExist,NotExist,NotExist,NotExist,NotExist,NotExist,0.197082407,0.184523234,0.902972338,2.804720961,1,2,6,6,2,7,2,1,2,7,2,7,0,0,0,0,-0.175604485,-0.768419033,-1.09103079,-2.696320548,0.196250931,0.507163932,0.720394483,2.861539057
0.08,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,43.80018862,31.54184951,35.1393969,35.55271854,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Sell Signal,Neutral,OS_Ehtiait_Souod,Neutral,0.072929244,0.08757949,0.120099815,0.120099815,2,3,3,3,0.034774209,0.018353055,0.242453514,1.200676165,1,1,2,2,0.072929244,0.08757949,0.120099815,0.120099815,2,3,3,3,0.432987201,0.170007245,0.242453514,1.200676165,4,2,2,2,0.072929244,0.08757949,0.120099815,0.120099815,2,3,3,3,1.019077518,1.75223376,5.642115431,8.089189407,1,1,1,3,NotExist,NotExist,NotExist,NotExist,NotExist,NotExist,NotExist,NotExist,0.11301618,0.170007245,0.88835225,2.789825324,1,2,6,6,1,8,2,1,6,8,2,7,0,0,0,0,-0.175604485,-0.768419033,-1.09103079,-2.696320548,0.196250931,0.507163932,0.720394483,2.861539057
0.79,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,55.91619256,38.07871426,37.71656304,36.52209568,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Buy Signa,Neutral,0.147684823,0.053089316,0.191443289,0.191443289,3,1,3,3,0.022683617,0.098456549,0.17085107,1.12838927,2,2,2,2,0.147684823,0.158946193,0.191443289,0.191443289,3,3,3,3,0.022683617,0.098456549,0.17085107,1.12838927,2,2,2,2,0.147684823,0.158946193,0.191443289,0.191443289,3,3,3,3,0.946920337,1.679552891,5.457581637,8.011982098,1,1,2,3,NotExist,0.158946193,NotExist,NotExist,NotExist,3,NotExist,NotExist,0.111004932,0.259461964,0.816288446,2.716403311,1,5,6,6,2,9,3,1,2,9,3,7,0,0,0,0,0.15854755,-0.768419033,-1.09103079,-2.696320548,-0.195866541,0.507163932,0.720394483,2.861539057
1.05,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,Buy Signa_StartSouod,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,67.28729006,46.18911924,41.60302074,37.99780115,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Ehtemale_Start_Souod,Sell Signal,Neutral,Buy Signa,Neutral,0.019606142,0.004821182,0.297306245,0.297306245,3,3,3,3,0.254799487,0.153120751,0.064603843,1.021126421,4,5,2,2,0.019606142,0.004821182,0.297306245,0.297306245,3,3,3,3,0.254799487,0.153120751,0.064603843,1.021126421,4,5,2,2,0.253594191,0.264843617,0.297306245,0.297306245,3,3,3,3,0.839849965,1.571705445,5.345726986,7.897418096,1,1,2,3,0.253594191,0.159099017,NotExist,NotExist,3,1,NotExist,NotExist,0.371713159,0.364052836,0.709356629,2.607456119,6,9,6,6,1,1,3,1,1,10,3,7,0,0,0,0,0.261990158,-0.768419033,-1.09103079,-2.696320548,-0.195866541,0.507163932,0.720394483,2.861539057
0.07,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,68.71427787,47.52409777,42.25812372,38.25877061,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Ehtemale_Start_Souod,Neutral,OB_Ehtiait_Nozool,Buy Signa,Neutral,0.029564217,0.014782109,0.316529932,0.316529932,3,3,3,3,0.235469348,0.133810217,0.045310376,1.001648526,4,5,2,2,0.029564217,0.014782109,0.316529932,0.316529932,3,3,3,3,0.235469348,0.133810217,0.045310376,1.001648526,4,5,2,2,0.272826307,0.284073563,0.316529932,0.316529932,3,3,3,3,0.820407022,1.552121393,5.325415265,7.876614383,1,1,2,3,0.272826307,0.178349353,NotExist,NotExist,3,1,NotExist,NotExist,0.352360478,0.344701632,0.689938847,2.587672364,6,9,6,6,2,1,3,1,2,1,3,7,0,0,0,0,0.290026006,0.290026006,-1.09103079,-2.696320548,-0.195866541,-0.768419033,0.720394483,2.861539057
-0.38,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,58.98956339,45.62782224,41.26986315,37.86648736,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Ehtemale_Start_Souod,Neutral,OB_Ehtiait_Nozool,Buy Signa,Neutral,0.007232401,0.150433944,0.288653166,0.288653166,4,1,3,3,0.263500482,0.017679203,0.073288332,1.029893925,4,3,2,2,0.007232401,0.256187721,0.288653166,0.288653166,4,3,3,3,0.263500482,0.017679203,0.073288332,1.029893925,4,3,2,2,0.244937319,0.256187721,0.288653166,0.288653166,3,3,3,3,0.848601736,1.580520733,5.354869817,7.906782385,1,1,2,3,0.244937319,0.256187721,NotExist,NotExist,3,3,NotExist,NotExist,0.380424301,0.161812922,0.718097075,2.616361299,6,5,6,6,2,1,3,1,4,1,3,7,0,0,0,0,0.303560553,0.303560553,-1.09103079,-2.696320548,-0.195866541,-0.768419033,0.720394483,2.861539057
-0.83,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,47.04682807,41.08696835,38.82735621,36.85002807,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Sell Signal,Neutral,Neutral,Neutral,0.170811499,0.076237901,0.214559831,0.214559831,3,1,3,3,0.005307702,0.092000167,0.147650618,1.104967044,2,3,2,2,0.170811499,0.182070261,0.214559831,0.214559831,3,3,3,3,0.005307702,0.092000167,0.147650618,1.104967044,2,3,2,2,0.170811499,0.182070261,0.214559831,0.214559831,3,3,3,3,0.923540141,1.656003011,5.433156732,7.986965571,1,1,2,3,NotExist,0.182070261,NotExist,NotExist,NotExist,3,NotExist,NotExist,0.106636558,0.236240989,0.792938505,2.692613287,2,5,6,6,1,2,4,1,1,2,4,7,0,0,0,0,-0.133008202,0.303560553,-1.09103079,-2.696320548,0.303560553,-0.768419033,0.720394483,2.861539057
-0.06,Ravand_Transient_Ravand_Mobham,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,48.89855202,41.68739929,39.09721166,36.99920073,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,Neutral,0.005146316,0.086844086,0.225151334,0.225151334,3,1,3,3,0.096010962,0.081376125,0.137020669,1.094235483,2,3,2,2,0.005146316,0.192665213,0.225151334,0.225151334,3,3,3,3,0.096010962,0.081376125,0.137020669,1.094235483,2,3,2,2,0.181407646,0.192665213,0.225151334,0.225151334,3,3,3,3,0.912827836,1.645212961,5.421965764,7.975503535,1,1,2,3,0.181407646,0.192665213,NotExist,NotExist,3,3,NotExist,NotExist,0.327353957,0.225601637,0.782240063,2.681713209,4,5,6,6,1,3,4,1,2,3,4,7,0,0,0,0,-0.150357098,0.303560553,-1.09103079,-2.696320548,0.303560553,-0.768419033,0.720394483,2.861539057
0.18,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,52.97823128,44.68919409,40.24451705,37.44251996,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,Neutral,0.045819788,0.118649136,0.256912357,0.256912357,2,1,3,3,0.059806882,0.049517526,0.105144356,1.062054463,3,3,2,2,0.045819788,0.224436577,0.256912357,0.256912357,2,3,3,3,0.059806882,0.049517526,0.105144356,1.062054463,3,3,2,2,0.213182594,0.224436577,0.256912357,0.256912357,3,3,3,3,0.880704564,1.61285655,5.388407111,7.941132022,1,1,2,3,0.213182594,0.224436577,NotExist,NotExist,3,3,NotExist,NotExist,0.295417057,0.193697126,0.75015836,2.649026852,4,5,6,6,1,4,4,1,1,4,4,7,0,0,0,0,0.118729307,0.303560553,-1.09103079,-2.696320548,-0.150357098,-0.768419033,0.720394483,2.861539057
