Sood_zarar,Ravand_TF 15 min= ,Ravand_TF 1h= ,Ravand_TF 4h= ,Ravand_TF D= ,Ravand_Zstr_TF 15 min= ,Ravand_Zstr_TF 1h= ,Ravand_Zstr_TF 4h= ,Ravand_Zstr_TF D= ,PTL_signal 15 min= ,PTL_signal 1h= ,PTL_signal 4h= ,PTL_signal D= ,PTL_Status 15 min= ,PTL_Status 1h= ,PTL_Status 4h= ,PTL_Status D= ,RSI_Status 15 min= ,RSI_Status 1h= ,RSI_Status 4h= ,RSI_Status D= ,RSI 15 min= ,RSI 1h= ,RSI 4h= ,RSI D= ,MACD_Status 15 min= ,MACD_Status 1h= ,MACD_Status 4h= ,MACD_Status D= ,Stochastic_Status 15 min= ,Stochastic_Status 1h= ,Stochastic_Status 4h= ,Stochastic_Status D= ,Supp_Z_percent_distance_TF 15 min=,Supp_Z_percent_distance_TF 1h=,Supp_Z_percent_distance_TF 4h=,Supp_Z_percent_distance_TF D=,Supp_Z_repeat_count_TF 15 min=,Supp_Z_repeat_count_TF 1h=,Supp_Z_repeat_count_TF 4h=,Supp_Z_repeat_count_TF D=,Ress_Z_percent_distance_TF 15 min=,Ress_Z_percent_distance_TF 1h=,Ress_Z_percent_distance_TF 4h=,Ress_Z_percent_distance_TF D=,Ress_Z_repeat_count_TF 15 min=,Ress_Z_repeat_count_TF 1h=,Ress_Z_repeat_count_TF 4h=,Ress_Z_repeat_count_TF D=,Supp_Z_repeated_percent_distance_TF 15 min=,Supp_Z_repeated_percent_distance_TF 1h=,Supp_Z_repeated_percent_distance_TF 4h=,Supp_Z_repeated_percent_distance_TF D=,Supp_Z_repeated_repeat_count_TF 15 min=,Supp_Z_repeated_repeat_count_TF 1h=,Supp_Z_repeated_repeat_count_TF 4h=,Supp_Z_repeated_repeat_count_TF D=,Ress_Z_repeated_percent_distance_TF 15 min=,Ress_Z_repeated_percent_distance_TF 1h=,Ress_Z_repeated_percent_distance_TF 4h=,Ress_Z_repeated_percent_distance_TF D=,Ress_Z_repeated_repeat_count_TF 15 min=,Ress_Z_repeated_repeat_count_TF 1h=,Ress_Z_repeated_repeat_count_TF 4h=,Ress_Z_repeated_repeat_count_TF D=,Supp_Z_farthest_percent_distance_TF 15 min=,Supp_Z_farthest_percent_distance_TF 1h=,Supp_Z_farthest_percent_distance_TF 4h=,Supp_Z_farthest_percent_distance_TF D=,Supp_Z_farthest_repeat_count_TF 15 min=,Supp_Z_farthest_repeat_count_TF 1h=,Supp_Z_farthest_repeat_count_TF 4h=,Supp_Z_farthest_repeat_count_TF D=,Ress_Z_farthest_percent_distance_TF 15 min=,Ress_Z_farthest_percent_distance_TF 1h=,Ress_Z_farthest_percent_distance_TF 4h=,Ress_Z_farthest_percent_distance_TF D=,Ress_Z_farthest_repeat_count_TF 15 min=,Ress_Z_farthest_repeat_count_TF 1h=,Ress_Z_farthest_repeat_count_TF 4h=,Ress_Z_farthest_repeat_count_TF D=,Supp_Z_2th_percent_distance_TF 15 min=,Supp_Z_2th_percent_distance_TF 1h=,Supp_Z_2th_percent_distance_TF 4h=,Supp_Z_2th_percent_distance_TF D=,Supp_Z_2th_repeat_count_TF 15 min=,Supp_Z_2th_repeat_count_TF 1h=,Supp_Z_2th_repeat_count_TF 4h=,Supp_Z_2th_repeat_count_TF D=,Ress_Z_2th_percent_distance_TF 15 min=,Ress_Z_2th_percent_distance_TF 1h=,Ress_Z_2th_percent_distance_TF 4h=,Ress_Z_2th_percent_distance_TF D=,Ress_Z_2th_repeat_count_TF 15 min=,Ress_Z_2th_repeat_count_TF 1h=,Ress_Z_2th_repeat_count_TF 4h=,Ress_Z_2th_repeat_count_TF D=,n_bar_Change_ravand_TF 15 min= ,n_bar_Change_ravand_TF 1h= ,n_bar_Change_ravand_TF 4h= ,n_bar_Change_ravand_TF D= ,n_bar_Change_ravand_Zstr 15 min= ,n_bar_Change_ravand_Zstr 1h= ,n_bar_Change_ravand_Zstr 4h= ,n_bar_Change_ravand_Zstr D= ,now_ravand_perc_TF 15 min= ,now_ravand_perc_TF 1h= ,now_ravand_perc_TF 4h= ,now_ravand_perc_TF D= ,sec_ravand_perc_TF 15 min= ,sec_ravand_perc_TF 1h= ,sec_ravand_perc_TF 4h= ,sec_ravand_perc_TF D= ,third_ravand_perc_TF 15 min= ,third_ravand_perc_TF 1h= ,third_ravand_perc_TF 4h= ,third_ravand_perc_TF D= 
0.56,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,63.06134293,59.54266642,55.07070915,57.71953924,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Buy Signa,OB_Ehtiait_Nozool,Neutral,Neutral,0.034077513,0.102019996,0.063434829,0.422591856,6,13,8,6,0.22472738,0.041445623,0.238805734,0.415031867,1,12,7,8,0.034077513,0.102019996,0.063434829,0.422591856,6,13,8,6,NotExist,0.041445623,0.238805734,0.415031867,NotExist,12,7,8,0.641946655,0.641946655,2.24266873,3.777077807,1,1,4,1,0.22472738,0.222516947,0.238805734,3.846153846,1,5,7,1,0.125564888,0.297947981,0.527372532,1.188476275,3,2,5,10,NotExist,0.222516947,NotExist,1.330865016,NotExist,5,NotExist,4,1,1,4,2,1,13,4,2,0,0,0,0,0.164215731,0.658600659,0.872273566,-0.98029317,-0.391472156,-0.312595093,-0.924820454,2.773401756
-0.6,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isSouodi,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,46.89915608,54.22986221,53.2148957,56.92602687,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Ehtemale_Start_Nozool,Sell Signal,Neutral,Neutral,Neutral,0.052157246,0.047062633,0.010021379,0.369370366,5,14,8,6,0.021563243,0.095759843,0.303636263,0.468701045,5,12,6,8,0.052157246,0.047062633,0.010021379,0.369370366,5,14,8,6,0.021563243,0.095759843,0.303636263,0.468701045,5,12,6,8,0.588842404,0.588842404,2.190420022,3.725649201,1,1,4,1,0.278294845,0.27608323,0.303636263,3.901656868,1,5,6,1,0.140990435,0.244659872,0.474207044,1.135664129,5,2,5,10,0.278294845,0.27608323,NotExist,1.385023683,1,5,NotExist,4,2,2,5,2,5,17,5,2,0,0,0,0,-0.086569721,0.658600659,0.872273566,-0.98029317,0.174363895,-0.312595093,-0.924820454,2.773401756
-1.45,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,38.15767883,43.68876841,48.95360418,54.60042127,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Ehtemale_Start_Nozool,Neutral,Neutral,Neutral,Neutral,0.039904782,0.09657111,0.350239429,0.245272168,4,3,5,6,0.036906157,0.075870542,0.076349612,0.59384313,5,13,8,8,0.039904782,0.09657111,0.350239429,0.245272168,4,3,5,6,0.036906157,0.075870542,0.076349612,0.59384313,5,13,8,8,0.465017577,0.465017577,2.068590093,3.605731526,1,1,4,1,0.403199764,0.400985394,0.40399061,4.031074984,1,5,7,1,0.13655278,0.269414945,0.733509868,1.012520414,5,3,3,10,0.125173382,0.219591633,0.40399061,1.511307124,6,11,7,4,3,1,1,2,3,1,6,2,0,0,0,0,-0.233001483,-0.450284874,0.872273566,-0.98029317,0.086644729,0.658600659,-0.924820454,2.773401756
0.68,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,55.79676963,51.66917986,51.76704369,56.16980677,Edame_Ravand_Souod,Ehtemale_Start_Souod,Ehtemale_Start_Souod,Ehtemale_Start_Nozool,Neutral,Neutral,Buy Signa,Neutral,0.098642968,0.004280236,0.034900382,0.327119748,5,14,7,6,0.007720886,0.137362637,0.299731728,0.511307065,8,11,8,8,0.098642968,0.004280236,0.034900382,0.327119748,5,14,7,6,0.007720886,0.137362637,0.299731728,0.511307065,8,11,8,8,0.546684859,0.546684859,2.148941662,3.68482189,1,1,4,1,0.320820119,0.318607567,0.299731728,3.945718711,1,5,8,1,0.195442142,0.195749441,0.432000885,1.093738476,4,3,5,10,0.083201195,0.318607567,NotExist,1.42801829,4,5,NotExist,4,2,1,1,2,2,3,7,2,0,0,0,0,0.20411179,-0.501746003,0.872273566,-0.98029317,-0.284574933,0.658600659,-0.924820454,2.773401756
3.81,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand Soodi,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isSouodi,PTL_isSouodi,PTL_isNeutral,Neutral,Neutral,Neutral,Neutral,68.37130589,69.0732874,61.52001808,61.17262118,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Buy Signa,Buy Signa,Neutral,Neutral,0.033071213,0.125985575,0.00078741,0.678725411,1,7,7,6,0.041339017,0.034449181,NotExist,0.156743772,1,2,NotExist,8,0.250790035,0.125985575,0.00078741,0.678725411,2,7,7,6,NotExist,0.034449181,NotExist,0.156743772,NotExist,2,NotExist,8,0.897515984,0.897515984,2.494120673,4.024582935,1,1,4,1,0.041339017,0.034449181,NotExist,3.5790402,1,2,NotExist,1,0.250790035,0.317483648,0.344287662,1.442639818,2,20,9,10,NotExist,NotExist,NotExist,1.07022121,NotExist,NotExist,NotExist,4,5,2,1,2,5,2,1,2,0,0,0,0.905644287,0.579086392,0.579086392,0.947357688,-0.98029317,-0.284574933,-0.501746003,-0.924820454,2.773401756
1.66,Ravand Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,No_newSignal,No_newSignal,No_newSignal,Buy Signa_StartSouod,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,OB_Ehtiait_Nozool,OB_Ehtiait_Nozool,Neutral,Neutral,72.57083412,73.09761755,64.42623946,62.76955984,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Neutral,Sell Signal,OB_Ehtiait_Nozool,Neutral,0.119232145,0.1329897,0.143078574,0.002649603,1,1,7,9,0.008254533,0.008254533,NotExist,0.877732021,1,1,NotExist,3,0.19856738,0.272858178,0.143078574,0.002649603,2,6,7,9,NotExist,NotExist,NotExist,0.877732021,NotExist,NotExist,NotExist,3,0.806880612,1.056580239,2.6506223,4.178628097,8,1,4,1,0.008254533,0.008254533,NotExist,3.412790858,1,1,NotExist,1,0.19856738,0.272858178,0.504239875,0.838140835,2,6,9,6,NotExist,NotExist,NotExist,1.48306445,NotExist,NotExist,NotExist,1,1,1,1,1,1,1,1,1,0,0,0,0,0.707464396,0.707464396,1.076205749,1.076205749,-0.284574933,-0.501746003,-0.924820454,-0.98029317
0.76,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand Soodi,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand Soodi,No_newSignal,No_newSignal,No_newSignal,Buy Signa_StartSouod,PTL_isNeutral,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,Exit_OB_Signal_Nozool,OB_Ehtiait_Nozool,Neutral,Neutral,69.20057365,76.81656747,66.59146947,64.06922804,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Neutral,Neutral,OB_Ehtiait_Nozool,Neutral,0.029323901,0.267275138,0.255209574,0.091064458,1,3,6,8,0.028407529,0.028407529,0.028407529,0.789912578,1,1,1,3,0.087666245,0.267275138,0.255209574,0.091064458,3,3,6,8,NotExist,NotExist,NotExist,0.789912578,NotExist,NotExist,NotExist,3,0.908582739,1.14271576,2.735370123,4.262045709,4,1,4,1,0.028407529,0.028407529,0.028407529,3.322764511,1,1,1,1,0.087666245,0.453374998,0.590856238,0.924466519,3,12,9,6,NotExist,NotExist,NotExist,1.394718032,NotExist,NotExist,NotExist,1,1,1,1,3,1,1,1,3,0,0,0,1.155924693,0.815523579,0.815523579,1.184660592,-0.98029317,-0.284574933,-0.501746003,-0.924820454,2.773401756
-0.55,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Soodi,No_newSignal,No_newSignal,No_newSignal,Buy Signa_StartSouod,PTL_isNeutral,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,Neutral,OB_Ehtiait_Nozool,Neutral,Neutral,54.36265351,71.43095623,65.16896723,63.6679029,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Sell Signal,Neutral,OB_Ehtiait_Nozool,Neutral,0.048813802,0.25323592,0.220464212,0.056261917,4,4,6,8,0.005958492,0.063251687,0.063251687,0.825022001,2,1,1,3,0.048813802,0.25323592,0.220464212,0.056261917,4,4,6,8,0.005958492,NotExist,NotExist,0.825022001,2,NotExist,NotExist,3,0.87116212,1.108279554,2.701488706,4.228696099,3,1,4,1,0.063251687,0.063251687,0.063251687,3.358756233,1,1,1,1,0.171421238,0.435611616,0.556227796,0.889954288,1,10,9,6,0.063251687,NotExist,NotExist,1.430038134,1,NotExist,NotExist,1,6,5,2,3,10,5,2,3,0,0,0,1.120700044,-0.09985617,0.815523579,1.184660592,-0.98029317,0.815523579,-0.501746003,-0.924820454,2.773401756
-2.72,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand Soodi,No_newSignal,No_newSignal,No_newSignal,Buy Signa_StartSouod,PTL_isNeutral,PTL_isNozooli,PTL_isNeutral,PTL_isSouodi,OS_Ehtiait_Souod,Neutral,Neutral,Neutral,29.36602596,46.8568284,56.20378936,59.26205022,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Neutral,Neutral,Neutral,Neutral,0.005973112,0.171841832,0.312235486,0.646780799,2,12,9,6,0.073515222,0.012252537,0.024351917,0.188957095,1,3,6,8,0.005973112,0.171841832,0.312235486,0.646780799,2,12,9,6,0.231879264,0.012252537,0.024351917,0.188957095,6,3,6,8,0.627942523,0.865641742,2.462759945,3.993714448,3,1,4,1,0.308763933,0.308763933,0.308763933,3.612354233,1,1,1,1,0.078109924,0.363476224,0.730098051,1.410940903,1,13,4,10,0.157138788,0.308763933,0.308763933,1.072403305,1,1,1,3,2,1,3,3,2,1,3,3,0,0,0,0.87320053,-0.337292858,-0.385683007,1.184660592,-0.98029317,0.051353532,0.815523579,-0.924820454,2.773401756
-1.71,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Soodi,No_newSignal,No_newSignal,No_newSignal,Buy Signa_StartSouod,PTL_isNozooli,PTL_isNozooli,PTL_isNeutral,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,36.20621634,39.12644026,51.71542092,56.74137567,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Ehtemale_Start_Nozool,Neutral,OS_Ehtiait_Souod,Neutral,Neutral,0.071782224,0.047946844,0.156724522,0.501401901,3,10,10,6,0.030829545,0.137812667,0.170712853,0.335558889,2,4,6,8,0.071782224,0.047946844,0.156724522,0.501401901,3,10,10,6,0.030829545,0.137812667,0.170712853,0.335558889,2,4,6,8,0.48253606,0.720583093,2.320038284,3.853232961,3,1,4,1,0.455541036,0.455541036,0.455541036,3.763965324,1,1,1,1,0.131907505,0.223782616,0.584841067,1.266680164,6,12,4,10,0.14034345,0.455541036,0.455541036,1.220297804,2,1,1,3,5,2,1,3,5,2,4,3,0,0,0,0.72581318,-0.47477636,-0.523099755,1.184660592,-0.98029317,0.051353532,0.815523579,-0.924820454,2.773401756
